make,vehicle_count
TESLA,117392
CHEVROLET,19677
NISSAN,16121
FORD,15639
KIA,14328
TOYOTA,12234
BMW,11688
HYUNDAI,11067
RIVIAN,9098
VOLKSWAGEN,7658
VOLVO,7545
JEEP,6551
AUDI,5994
CHRYSLER,3676
MERCEDES-BENZ,3397
HONDA,3225
SUBARU,3013
CADILLAC,2595
PORSCHE,2052
LEXUS,1782
POLESTAR,1664
MAZDA,1573
MITSUBISHI,1293
MINI,1233
FIAT,851
DODGE,830
LUCID,781
GMC,571
GENESIS,524
LINCOLN,457
ACURA,353
LAND ROVER,228
SMART,226
JAGUAR,147
FISKER,115
ALFA ROMEO,103
BRIGHTDROP,54
LAMBORGHINI,27
RAM,25
BENTLEY,9
TH!NK,6
ROLLS-ROYCE,5
MULLEN AUTOMOTIVE INC.,4
VINFAST,4
AZURE DYNAMICS,3
WHEEGO ELECTRIC CARS,2
ASTON MARTIN,1
MASERATI,1
